kind,source,source_id,name,country,uic,iata,icao,lat,lon
station,trainline,514,Écuelle,FR,8714336,,,47.55,5.55
station,trainline,519,Beausoleil,FR,8745003,,,43.75,7.433333
station,trainline,521,Docelles – Cheniménil,FR,8714403,,,48.143613,6.610479
station,trainline,522,Lépanges,FR,8714404,,,48.172717,6.672288
station,trainline,523,Charmes,FR,8714405,,,48.378483,6.301537
station,trainline,524,Vincey,FR,8714406,,,48.343647,6.335513
station,trainline,525,Châtel – Nomexy,FR,8714407,,,48.307156,6.387807
station,trainline,526,Igney,FR,8714408,,,48.270964,6.399546
station,trainline,527,Thaon,FR,8714409,,,48.24465,6.416384
station,trainline,529,Xertigny,FR,8714412,,,48.053026,6.376769
station,trainline,530,Bains-les-Bains,FR,8714414,,,47.981128,6.295268
station,trainline,531,Laveline-devant-Bruyères,FR,8714416,,,48.185596,6.751247
station,trainline,532,Biffontaine,FR,8714418,,,48.20594,6.807181
station,trainline,533,Corcieux – Vanémont,FR,8714419,,,48.198284,6.877292
station,trainline,536,Contrexéville,FR,8714428,,,48.179613,5.890633
station,trainline,537,Martigny-les-Bains,FR,8714429,,,48.108689,5.825576
station,trainline,538,Lamarche,FR,8714430,,,48.09013,5.760439
station,trainline,539,Rozières-sur-Mouzon,FR,8714431,,,48.120892,5.705489
station,trainline,540,Provenchères-sur-Fave,FR,8714434,,,48.304629,7.08549
station,trainline,541,Colroy – Lubine,FR,8714438,,,48.314586,7.131729
station,trainline,542,Pouxeux,FR,8714442,,,48.103942,6.581027
station,trainline,543,Éloyes,FR,8714443,,,48.087067,6.600159
station,trainline,544,Vecoux,FR,8714446,,,47.980175,6.636951
station,trainline,545,St-Léonard,FR,8714447,,,48.217082,6.941551
station,trainline,546,Rupt-sur-Moselle,FR,8714451,,,47.933333,6.666667
station,trainline,547,Ferdrupt,FR,8714452,,,47.9,6.716667
station,trainline,548,Ramonchamp,FR,8714453,,,47.9,6.75
station,trainline,549,Le Thillot,FR,8714454,,,47.883333,6.766667
station,trainline,550,Fresse,FR,8714455,,,47.866667,6.783333
station,trainline,551,St-Maurice-sur-Moselle,FR,8714456,,,47.866667,6.833333
station,trainline,553,Raon-l’Étape,FR,8714462,,,48.404002,6.837302
station,trainline,554,Vagney,FR,8714463,,,48.005974,6.710573
station,trainline,555,Étival-Clairefontaine,FR,8714464,,,48.367199,6.876961
station,trainline,556,Zainvillers,FR,8714465,,,47.996347,6.713764
station,trainline,557,Thiéfosse,FR,8714466,,,47.969892,6.73061
station,trainline,558,Saulxures-sur-Moselotte,FR,8714467,,,47.95,6.766667
station,trainline,559,St-Michel-sur-Meurthe,FR,8714468,,,48.326984,6.888278
station,trainline,560,Cornimont,FR,8714469,,,47.966667,6.833333
station,trainline,580,St-Nabord,FR,8714621,,,48.046172,6.581895
station,trainline,581,Hielle – Rupt,FR,8714622,,,47.968714,6.635522
station,trainline,582,Maxonchamp,FR,8714623,,,47.945783,6.63269
station,trainline,583,Dommartin,FR,8714624,,,48.0,6.65
station,trainline,587,La Bresse,FR,8714633,,,48.0,6.883333
station,trainline,598,Montbré,FR,8717125,,,49.194208,4.038848
station,trainline,599,Trois-Puits,FR,8717126,,,49.206748,4.038468
station,trainline,600,Muizon,FR,8717129,,,49.278101,3.891529
station,trainline,601,Jonchery-sur-Vesle,FR,8717131,,,49.290057,3.819422
station,trainline,602,Breuil-Romain,FR,8717132,,,49.308414,3.766532
station,trainline,603,Fismes,FR,8717133,,,49.310665,3.68213
station,trainline,604,Bazoches,FR,8717134,,,49.30518,3.616359
station,trainline,605,Mont-Notre-Dame,FR,8717135,,,49.29678,3.576455
station,trainline,606,Fère-en-Tardenois,FR,8717137,,,49.208563,3.504269
station,trainline,607,Dormans,FR,8717151,,,49.079161,3.641709
station,trainline,608,Aÿ,FR,8717156,,,49.048732,4.001564
station,trainline,609,Avenay,FR,8717157,,,49.064783,4.043689
station,trainline,610,Germaine,FR,8717158,,,49.127763,4.022898
station,trainline,611,Rilly-la-Montagne,FR,8717159,,,49.166452,4.040861
station,trainline,612,Val-de-Vesle,FR,8717161,,,49.17792,4.22221
station,trainline,613,Prunay,FR,8717162,,,49.1988,4.18364
station,trainline,614,Sillery,FR,8717163,,,49.20324,4.14427
station,trainline,615,Sept-Saulx,FR,8717164,,,49.151133,4.256974
station,trainline,617,Courcy-Brimont,FR,8717171,,,49.3296,4.013462
station,trainline,618,Loivre,FR,8717172,,,49.346679,3.99067
station,trainline,619,Guignicourt,FR,8717173,,,49.434862,3.961334
station,trainline,620,Amifontaine,FR,8717174,,,49.484732,3.910581
station,trainline,621,St-Erme,FR,8717175,,,49.526987,3.85765
station,trainline,622,Coucy-lès-Eppes,FR,8717176,,,49.556282,3.774821
station,trainline,623,Nouzonville,FR,8717202,,,49.812013,4.742816
station,trainline,624,Joigny-sur-Meuse,FR,8717203,,,49.833681,4.767239
station,trainline,625,Bogny-sur-Meuse,FR,8717204,,,49.858312,4.763232
station,trainline,626,Monthermé,FR,8717205,,,49.865621,4.74053
station,trainline,627,Deville,FR,8717206,,,49.879603,4.707206
station,trainline,628,Laifour,FR,8717207,,,49.911256,4.692348
station,trainline,629,Revin,FR,8717208,,,49.938756,4.642536
station,trainline,630,Fumay,FR,8717209,,,49.986048,4.6926
station,trainline,631,Haybes,FR,8717210,,,50.011689,4.704538
station,trainline,632,Vireux-Molhain,FR,8717211,,,50.082797,4.723391
station,trainline,633,Aubrives,FR,8717212,,,50.104451,4.761651
station,trainline,634,Givet,FR,8717213,,,50.140251,4.817986
station,trainline,635,Lumes,FR,8717218,,,49.732797,4.783357
station,trainline,636,Nouvion-sur-Meuse,FR,8717221,,,49.697314,4.794973
station,trainline,637,Vrigne-Meuse,FR,8717222,,,49.701082,4.843806
station,trainline,638,Donchery,FR,8717223,,,49.698127,4.874753
station,trainline,639,Amagne – Lucquy,FR,8717226,,,49.523819,4.473878
station,trainline,640,Rethel,FR,8717227,,,49.504393,4.369566
station,trainline,641,Pont-Maugis,FR,8717230,,,49.666667,4.95
station,trainline,642,Bazeilles,FR,8717231,,,49.666667,4.983333
station,trainline,643,Douzy,FR,8717232,,,49.666667,5.05
station,trainline,644,Pouru-St-Rémy,FR,8717233,,,49.683333,5.083333
station,trainline,645,Sachy,FR,8717234,,,49.666667,5.133333
station,trainline,647,Blagny,FR,8717238,,,49.616667,5.183333
station,trainline,648,Linay,FR,8717239,,,49.616667,5.216667
station,trainline,651,Beauchastel,FR,8776152,,,44.833333,4.8
station,trainline,652,Remilly-Aillicourt,FR,8717270,,,49.6518,4.993642
station,trainline,653,Bénestroff,FR,8719230,,,48.90656,6.75266
station,trainline,656,Anchamps,FR,8717285,,,49.930745,4.670243
station,trainline,657,Fépin,FR,8717287,,,50.023464,4.726616
station,trainline,659,Brest,FR,8747400,,,48.38811,-4.478903
station,trainline,660,Wadelincourt,FR,8717330,,,49.682651,4.937918
station,trainline,661,La Ferté-sur-Chiers,FR,8717340,,,49.566667,5.233333
station,trainline,668,Mourmelon-le-Petit,FR,8717440,,,49.131308,4.318098
station,trainline,670,Bouy,FR,8717443,,,49.09131,4.35292
station,trainline,673,St-Âme,FR,8717449,,,48.033333,6.666667
station,trainline,674,St-Âme – Le Syndicat,FR,8717450,,,48.024474,6.686994
station,trainline,680,Revigny,FR,8717501,,,48.824045,4.985574
station,trainline,681,Nançois-Tronville,FR,8717506,,,48.718042,5.291202
station,trainline,683,Joinville,FR,8717509,,,48.444298,5.143503
station,trainline,685,Curel,FR,8717510,,,48.5,5.133333
station,trainline,686,Chevillon,FR,8717511,,,48.524551,5.111784
station,trainline,687,Bayard,FR,8717513,,,48.55203,5.075444
station,trainline,690,Villiers-en-Lieu,FR,8717520,,,48.661135,4.896801
station,trainline,692,Commercy,FR,8717525,,,48.765749,5.58861
station,trainline,693,Berthelming,FR,8721533,,,48.809648,7.008786
station,trainline,694,Bouin,FR,8732072,,,46.966667,-2.0
station,trainline,696,Clermont-en-Argonne,FR,8717573,,,49.10645,5.06506
station,trainline,697,Étain,FR,8717579,,,49.207491,5.639808
station,trainline,707,Flaxlanden,FR,8718104,,,47.698692,7.30447
station,trainline,708,Beillant,FR,8749107,,,45.7008,-0.526508
station,trainline,710,Tagolsheim,FR,8718105,,,47.654968,7.264144
station,trainline,711,Walheim,FR,8718106,,,47.641641,7.26332
station,trainline,713,Biarritz,FR,8767340,,,43.459397,-1.545915
station,trainline,715,Graffenwald,FR,8718113,,,47.780823,7.224791
station,trainline,719,St-Gilles,FR,8718155,,,48.075861,7.260975
station,trainline,724,Rixheim,FR,8718207,,,47.74896,7.406404
station,trainline,725,Habsheim,FR,8718208,,,47.737691,7.417979
station,trainline,726,Sierentz,FR,8718210,,,47.656047,7.459142
station,trainline,727,Bartenheim,FR,8718211,,,47.634931,7.487256
station,trainline,728,Zillisheim,FR,8718219,,,47.694314,7.294538
station,trainline,729,Illfurth,FR,8718220,,,47.676432,7.268571
station,trainline,730,Altkirch,FR,8718223,,,47.627017,7.239249
station,trainline,731,Dannemarie,FR,8718225,,,47.627577,7.124907
station,trainline,735,Herrlisheim-près-Colmar,FR,8718232,,,48.016642,7.320638
station,trainline,736,Rouffach,FR,8718233,,,47.960248,7.312455
station,trainline,737,Logelbach,FR,8718234,,,48.087299,7.320608
station,trainline,738,Turckheim,FR,8718235,,,48.085629,7.279466
station,trainline,739,Walbach,FR,8718236,,,48.058006,7.233476
station,trainline,740,Wihr-au-Val – Soultzbach,FR,8718237,,,48.046052,7.209535
station,trainline,741,Gunsbach – Griesbach,FR,8718238,,,48.041491,7.174841
station,trainline,742,Ranspach,FR,8718240,,,47.881595,7.012318
station,trainline,743,Cernay,FR,8718241,,,47.802,7.1737
station,trainline,747,Lauw,FR,8718247,,,47.756291,7.018375
station,trainline,754,Luttenbach-près-Munster,FR,8718254,,,48.035256,7.118631
station,trainline,756,Bitschwiller,FR,8718257,,,47.827372,7.078514
station,trainline,757,Willer-sur-Thur,FR,8718258,,,47.842549,7.06932
station,trainline,758,Moosch,FR,8718259,,,47.860745,7.050763
station,trainline,759,St-Amarin,FR,8718260,,,47.87286,7.028745
station,trainline,760,Wesserling,FR,8718261,,,47.889965,6.997519
station,trainline,761,Fellering,FR,8718262,,,47.897589,6.987135
station,trainline,762,Oderen,FR,8718263,,,47.911876,6.973483
station,trainline,763,Kruth,FR,8718264,,,47.92396,6.969094
station,trainline,764,Breitenbach,FR,8718265,,,48.028533,7.104052
station,trainline,767,Staffelfelden,FR,8718269,,,47.827961,7.265166
station,trainline,768,Bollwiller,FR,8718270,,,47.856969,7.267256
station,trainline,769,Raedersheim,FR,8718271,,,47.886906,7.284047
station,trainline,770,Merxheim,FR,8718272,,,47.912641,7.30228
station,trainline,771,Muhlbach-sur-Munster,FR,8718273,,,48.024608,7.087567
station,trainline,773,Metzéral,FR,8718281,,,48.01333,7.073338
station,trainline,775,Bas-Evette,FR,8718420,,,47.681009,6.806849
station,trainline,778,Bort-les-Orgues,FR,8764570,,,45.406458,2.502158
station,trainline,779,Trois-Chênes,FR,8718424,,,47.648082,6.846228
station,trainline,781,Petit-Croix,FR,8718426,,,47.610105,6.994741
station,trainline,782,Montreux-Vieux,FR,8718427,,,47.617858,7.025395
station,trainline,783,Blainville – Damelevières,FR,8714113,,,48.564971,6.386953
station,trainline,784,Héricourt,FR,8718450,,,47.57297,6.769198
station,trainline,785,Voujeaucourt,FR,8718453,,,47.478973,6.769967
station,trainline,786,Bourg-Madame,FR,8778487,,,42.432407,1.94867
station,trainline,787,Colombier-Fontaine,FR,8718455,,,47.455485,6.689007
station,trainline,789,L’Isle-sur-le-Doubs,FR,8718457,,,47.447378,6.581261
station,trainline,792,Clerval,FR,8718462,,,47.396658,6.492057
station,trainline,793,Port-sur-Saône,FR,8718512,,,47.683333,6.05
station,trainline,795,Grattery,FR,8718515,,,47.666667,6.083333
station,trainline,796,Noidans-lès-Vesoul,FR,8718517,,,47.616667,6.133333
station,trainline,800,Montureux-lès-Baulay,FR,8718528,,,47.816667,5.983333
station,trainline,801,Ronchamp,FR,8718531,,,47.699031,6.623279
station,trainline,802,Champagney,FR,8718534,,,47.70314,6.701277
station,trainline,807,Béning,FR,8719325,,,49.137954,6.828298
station,trainline,810,Luxeuil-les-Bains,FR,8718559,,,47.814861,6.372659
station,trainline,812,Loupershouse,FR,8719080,,,49.081102,6.914979
station,trainline,813,Walygator Parc,FR,8719109,,,49.22492,6.15946
station,trainline,814,Maizières-lès-Metz,FR,8719110,,,49.215535,6.158876
station,trainline,815,Uckange,FR,8719113,,,49.303261,6.156774
station,trainline,817,Hayange,FR,8719123,,,49.33053,6.07245
station,trainline,819,Metzeresche,FR,8719129,,,49.3,6.316667
station,trainline,820,Yutz,FR,8719130,,,49.361354,6.209395
station,trainline,822,Distroff,FR,8719132,,,49.335232,6.260301
station,trainline,823,Metzervisse,FR,8719133,,,49.317958,6.283855
station,trainline,829,Boé,FR,8758234,,,44.166667,0.633333
station,trainline,831,Anzeling,FR,8719138,,,49.262072,6.460265
station,trainline,832,Freistroff,FR,8719139,,,49.278059,6.492671
station,trainline,833,Remelfang,FR,8719141,,,49.266667,6.516667
station,trainline,834,Basse-Ham,FR,8719160,,,49.380571,6.234871
station,trainline,835,Koenigsmacker,FR,8719161,,,49.396554,6.27355
station,trainline,836,Malling,FR,8719162,,,49.42152,6.302207
station,trainline,837,Sierck-les-Bains,FR,8719163,,,49.444016,6.350095
station,trainline,839,Homécourt,FR,8719169,,,49.218299,5.999171
station,trainline,841,Jœuf,FR,8719170,,,49.225008,6.017702
station,trainline,842,Moyeuvre-Grande,FR,8719171,,,49.246713,6.043226
station,trainline,844,Boves,FR,8731321,,,49.846236,2.398117
station,trainline,845,Rombas – Clouange,FR,8719173,,,49.256055,6.099054
station,trainline,846,Gandrange – Amnéville,FR,8719174,,,49.260822,6.13589
station,trainline,849,Woippy,FR,8719208,,,49.148797,6.155621
station,trainline,852,Lucy,FR,8719212,,,48.95,6.466667
